"ATTAINS.parameter","CST.pollutant","CST.std.pollutant"
"NITRILOTRIACETIC ACID","nitrilotriacetic acid","nitrilotriacetic acid"
"N-PROPYLBENZENE","n-propylbenzene","n-propylbenzene"
"OCTACHLOROSTYRENE","octachlorostyrene","octachlorostyrene"
"ATRAZINE","atrazine","atrazine"
"2-CHLOROETHYL VINYL ETHER","2-chloroethyl vinyl ether","2-chloroethyl vinyl ether"
"2-HEXANONE","2-hexanone","2-hexanone"
"HEXACHLOROCYCLOHEXANE","hexachlorocyclohexane","hexachlorocyclohexane (hch)-technical"
"PICLORAM","picloram","picloram"
"ACETONE","acetone","acetone"
"CIS-1,2-DICHLOROETHYLENE","cis-1,2-dichloroethylene","1,2-cis-dichloroethylene"
"DALAPON","dalapon","dalapon"
"DI(2-ETHYLHEXYL) ADIPATE","di(2-ethylhexyl) adipate","di (2-ethylhexyl) adipate"
"OXAMYL (VYDATE)","oxamyl (vydate)","oxamyl (vydate)"
"BETA PARTICLES AND PHOTON EMITTERS","beta particles and photon emitters","beta particles and photon activity"
"GLYPHOSATE","glyphosate","glyphosate"
"DICHLOROMETHANE","dichloromethane","methylene chloride"
"2,4,5-TP (SILVEX)","2,4,5-tp (silvex)","chlorophenoxy herbicide (2,4,5-tp) [silvex]"
"COLOR","color","color"
"ODOR","odor","odor"
"CHLOROMETHANE","chloromethane","methyl chloride"
"PHOSPHORUS","phosphorus","phosphorous (yellow)"
"OSMOTIC PRESSURE","osmotic pressure","osmotic pressure"
"LINDANE","lindane","gamma-hexachlorocyclohexane (hch) (lindane)"
"METHYL ETHYL KETONE","methyl ethyl ketone","methyl ketone"
"CHLORINE DIOXIDE","chlorine dioxide","chlorine dioxide"
"NITRITE","nitrite","nitrite"
"OIL","oil","oil and grease"
"SALINITY","salinity","salinity"
"P-DICHLOROBENZENE","p-dichlorobenzene","1,4-dichlorobenzene"
"PYRIDINE","pyridine","pyridine"
"BROMOXYNIL","bromoxynil","bromoxynil"
"METALAXYL","metalaxyl","metalaxyl"
"METHAMIDOPHOS","methamidophos","methamidophos"
"METHOMYL","methomyl","methomyl"
"METRIBUZIN","metribuzin","metribuzin"
"M-XYLENE","m-xylene","1,3-xylene"
"NICOSULFURON","nicosulfuron","nicosulfuron"
"AZOXYSTROBIN","azoxystrobin","azoxystrobin"
"BENTAZON","bentazon","bentazon"
"BROMACIL","bromacil","bromacil"
"NITROGEN","nitrogen","total nitrogen"
"DICHLORVOS","dichlorvos","dichlorvos"
"PERCHLORATE","perchlorate","perchlorate"
"MOLYBDENUM","molybdenum","molybdenum"
"BIOCHEMICAL OXYGEN DEMAND (BOD)","biochemical oxygen demand (bod)","biochemical oxygen demand (bod)"
"ALDICARB SULFONE","aldicarb sulfone","aldicarb sulfone"
"IMAZALIL","imazalil","imazalil"
"IMAZETHAPYR","imazethapyr","imazethapyr"
"THIOBENCARB","thiobencarb","thiobencarb"
"LITHIUM","lithium","lithium"
"CONDUCTIVITY","conductivity","conductivity"
"PROPANIL","propanil","propanil"
"BICARBONATE","bicarbonate","bicarbonate"
"SODIUM ADSORPTION RATIO","sodium adsorption ratio","sodium adsorption ratio"
"TOTAL DISSOLVED GAS","total dissolved gas","total dissolved gases"
"SULFOSULFURON","sulfosulfuron","sulfosulfuron"
"TEBUCONAZOLE","tebuconazole","tebuconazole"
"DICOFOL","dicofol","dicofol"
"DIURON","diuron","diuron"
"BUTYLATE","butylate","butylate"
"PROMETON","prometon","prometon"
"PRONAMIDE","pronamide","pronamide"
"PROPACHLOR","propachlor","propachlor"
"PROPAZINE","propazine","propazine"
"PROPHAM","propham","propham"
"PROPOXUR","propoxur","propoxur"
"P-XYLENE","p-xylene","1,4-xylene"
"CHLORAMBEN","chloramben","chloramben"
"DACTHAL","dacthal","dcpa"
"DICAMBA","dicamba","dicamba"
"1,4-DIOXANE","1,4-dioxane","1,4-dioxane"
"PHOSPHATE","phosphate","phosphate"
"FENAMIPHOS","fenamiphos","fenamiphos"
"FLUOMETURON","fluometuron","fluometuron"
"O-DICHLOROBENZENE","o-dichlorobenzene","1,2-dichlorobenzene"
"DIPHENAMID","diphenamid","diphenamid"
"DISULFOTON","disulfoton","disulfoton"
"PROPYLENE OXIDE","propylene oxide","propylene oxide"
"QUINOLINE","quinoline","quinoline"
"CHLOROACETIC ACID","chloroacetic acid","chloroacetic acid"
"2,3,4,6-TETRACHLOROPHENOL","2,3,4,6-tetrachlorophenol","2,3,4,6-tetrachlorophenol"
"FONOFOS","fonofos","fonofos"
"ACETOCHLOR","acetochlor","acetochlor"
"DICHLORPROP","dichlorprop","dichlorprop"
"ETHION","ethion","ethion"
"FIPRONIL","fipronil","fipronil"
"MYCLOBUTANIL","myclobutanil","myclobutanil"
"MOLINATE","molinate","molinate"
"M-DICHLOROBENZENE","m-dichlorobenzene","1,3-dichlorobenzene"
"O-XYLENE","o-xylene","1,2-xylene"
"ACRYLAMIDE","acrylamide","acrylamide"
"DIBUTYL PHTHALATE","dibutyl phthalate","di-n-butyl phthalate"
"1,3-DICHLOROBENZENE","1,3-dichlorobenzene","1,3-dichlorobenzene"
"DIOXIN","dioxin","2,3,7,8-tcdd (dioxin)"
"STRONTIUM","strontium","strontium"
"SULFOMETURON METHYL","sulfometuron methyl","sulfometuron methyl"
"TEBUTHIURON","tebuthiuron","tebuthiuron"
"TERBACIL","terbacil","terbacil"
"TERBUFOS","terbufos","terbufos"
"TRANS-NONACHLOR","trans-nonachlor","trans-nonachlor"
"PARAQUAT","paraquat","paraquat"
"1,2-DIBROMOETHANE","1,2-dibromoethane","1,2-dibromoethane"
"CHLOROMETHYL METHYL ETHER","chloromethyl methyl ether","chloromethyl methyl ether"
"BENZYL CHLORIDE","benzyl chloride","benzyl chloride"
"ACIFLUORFEN","acifluorfen","acifluorfen"
"TRICLOPYR","triclopyr","triclopyr"
"TRIFLURALIN","trifluralin","trifluralin"
"HEXAZINONE","hexazinone","hexazinone"
"IMAZAMOX","imazamox","imazamox"
"IMIDACLOPRID","imidacloprid","imidacloprid"
"AMETRYN","ametryn","ametryn"
"PERMETHRIN","permethrin","permethrin"
"CHEMICAL OXYGEN DEMAND (COD)","chemical oxygen demand (COD)","chemical oxygen demand (COD)"
"CLOTHIANIDIN","clothianidin","clothianidin"
"THIAMETHOXAM","thiamethoxam","thiamethoxam"
"NUTRIENTS","nutrients","nutrients"
"CESIUM","cesium","cesium"
"CHLORSULFURON","chlorsulfuron","chlorsulfuron"
"DIMETHOATE","dimethoate","dimethoate"
"BIOLOGICAL INTEGRITY","biological integrity","biological integrity"
"FILAMENTOUS ALGAE","filamentous algae","filamentous algae"
"TOTAL AROMATIC HYDROCARBONS","total aromatic hydrocarbons","total aromatic hydrocarbons"
"FINE SEDIMENT","fine sediment","fine sediment"
"BROMIDE","bromide","bromide"
"BROMOBENZENE","bromobenzene","bromobenzene"
"BIPHENYL","biphenyl","biphenyl"
"METHANOL","methanol","methanol"
"CALCIUM","calcium","calcium"
"CAPTAN","captan","captan"
"CHLOROETHANE","chloroethane","chloroethane"
"CHLOROPRENE","chloroprene","chloroprene"
"CHLOROTHALONIL","chlorothalonil","chlorothalonil"
"ENDRIN KETONE","endrin ketone","endrin ketone"
"POTASSIUM","potassium","potassium"
"SILICA","silica","silica"
"METHACRYLONITRILE","methacrylonitrile","methacrylonitrile"
"METHYL IODIDE","methyl iodide","methyl iodide"
"METHYL METHACRYLATE","methyl methacrylate","methyl methacrylate"
"5-NITRO-O-TOLUIDINE","5-nitro-o-toluidine","5-nitro-o-toluidine"
"PENDIMETHALIN","pendimethalin","pendimethalin"
"POLYBROMINATED BIPHENYLS","polybrominated biphenyls","polybrominated biphenyls"
"O-TOLUIDINE","o-toluidine","o-toluidine"
"ZINEB","zineb","zineb"
"ZIRAM","ziram","ziram"
"CHRONIC TOXICITY","chronic toxicity","chronic toxicity"
"ALLYL CHLORIDE","allyl chloride","allyl chloride"
"4-AMINOBIPHENYL","4-aminobiphenyl","4-aminobiphenyl"
